Date,Close,Goldman Sachs
1/2/2014 16:00:00,176.89,
1/3/2014 16:00:00,178.15,
1/6/2014 16:00:00,179.37,
1/7/2014 16:00:00,178.29,
1/8/2014 16:00:00,178.44,
1/9/2014 16:00:00,177.4,
1/10/2014 16:00:00,178.39,
1/13/2014 16:00:00,175.88,
1/14/2014 16:00:00,176.6,
1/15/2014 16:00:00,178.75,
1/16/2014 16:00:00,175.17,
1/17/2014 16:00:00,176.28,
1/21/2014 16:00:00,173.2,
1/22/2014 16:00:00,173.68,
1/23/2014 16:00:00,170.75,
1/24/2014 16:00:00,167.64,
1/27/2014 16:00:00,164.69,
1/28/2014 16:00:00,166.25,
1/29/2014 16:00:00,163.9,
1/30/2014 16:00:00,165.84,
1/31/2014 16:00:00,164.12,
2/3/2014 16:00:00,159.82,
2/4/2014 16:00:00,161.76,
2/5/2014 16:00:00,160.42,
2/6/2014 16:00:00,161.75,
2/7/2014 16:00:00,161.93,
2/10/2014 16:00:00,161,
2/11/2014 16:00:00,164.39,
2/12/2014 16:00:00,163.5,
2/13/2014 16:00:00,164.06,
2/14/2014 16:00:00,163.72,
2/18/2014 16:00:00,164.65,
2/19/2014 16:00:00,163.26,
2/20/2014 16:00:00,164.5,
2/21/2014 16:00:00,164.5,
2/24/2014 16:00:00,166.54,
2/25/2014 16:00:00,163.48,
2/26/2014 16:00:00,162.8,
2/27/2014 16:00:00,165.38,
2/28/2014 16:00:00,166.45,
3/3/2014 16:00:00,164.74,
3/4/2014 16:00:00,168.73,
3/5/2014 16:00:00,171.9,
3/6/2014 16:00:00,172.6,
3/7/2014 16:00:00,174.26,
3/10/2014 16:00:00,173.51,
3/11/2014 16:00:00,169.89,
3/12/2014 16:00:00,169.72,
3/13/2014 16:00:00,166.7,
3/14/2014 16:00:00,165.35,
3/17/2014 16:00:00,166.84,
3/18/2014 16:00:00,168.09,
3/19/2014 16:00:00,168.18,
3/20/2014 16:00:00,169.22,
3/21/2014 16:00:00,166.95,
3/24/2014 16:00:00,165.72,
3/25/2014 16:00:00,163.25,
3/26/2014 16:00:00,161.73,
3/27/2014 16:00:00,162.29,
3/28/2014 16:00:00,162.3,
3/31/2014 16:00:00,163.85,
4/1/2014 16:00:00,165.92,
4/2/2014 16:00:00,167.27,
4/3/2014 16:00:00,166.09,
4/4/2014 16:00:00,163.24,
4/7/2014 16:00:00,158.56,
4/8/2014 16:00:00,156.56,
4/9/2014 16:00:00,158.16,
4/10/2014 16:00:00,155.98,
4/11/2014 16:00:00,152.72,
4/14/2014 16:00:00,154.74,
4/15/2014 16:00:00,154.92,
4/16/2014 16:00:00,157.22,
4/17/2014 16:00:00,157.44,
4/21/2014 16:00:00,157.8,
4/22/2014 16:00:00,160.46,
4/23/2014 16:00:00,160.45,
4/24/2014 16:00:00,160.85,
4/25/2014 16:00:00,158.24,
4/28/2014 16:00:00,156.54,
4/29/2014 16:00:00,158.24,
4/30/2014 16:00:00,159.82,
5/1/2014 16:00:00,160.37,
5/2/2014 16:00:00,158.88,
5/5/2014 16:00:00,156.35,
5/6/2014 16:00:00,154.54,
5/7/2014 16:00:00,155.52,
5/8/2014 16:00:00,157.4,
5/9/2014 16:00:00,157.2,
5/12/2014 16:00:00,159.55,
5/13/2014 16:00:00,160.28,
5/14/2014 16:00:00,159.45,
5/15/2014 16:00:00,156.64,
5/16/2014 16:00:00,156.43,
5/19/2014 16:00:00,157.67,
5/20/2014 16:00:00,156.35,
5/21/2014 16:00:00,159.35,
5/22/2014 16:00:00,159.85,
5/23/2014 16:00:00,160.16,
5/27/2014 16:00:00,161.77,
5/28/2014 16:00:00,161.19,
5/29/2014 16:00:00,160.74,
5/30/2014 16:00:00,159.81,
6/2/2014 16:00:00,160.03,
6/3/2014 16:00:00,161.8,
6/4/2014 16:00:00,162.39,
6/5/2014 16:00:00,162.58,
6/6/2014 16:00:00,166.19,
6/9/2014 16:00:00,166,
6/10/2014 16:00:00,166.36,
6/11/2014 16:00:00,165.43,
6/12/2014 16:00:00,165.96,
6/13/2014 16:00:00,165.89,
6/16/2014 16:00:00,165.85,
6/17/2014 16:00:00,168.22,
6/18/2014 16:00:00,169.86,
6/19/2014 16:00:00,169.73,
6/20/2014 16:00:00,169.84,
6/23/2014 16:00:00,170.24,
6/24/2014 16:00:00,168.23,
6/25/2014 16:00:00,168.38,
6/26/2014 16:00:00,168.01,
6/27/2014 16:00:00,166.78,
6/30/2014 16:00:00,167.44,
7/1/2014 16:00:00,166.81,
